Algorithm,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall Rate,Voicing False-Alarm Rate,Contributors,Dataset,Year
hjc1,0.4807,0.6756,0.7487,0.5593,0.0773,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",INDIAN08,2009
hjc2,0.4651,0.6084,0.7481,0.5593,0.0773,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",INDIAN08,2009
jjy,0.6116,0.6830,0.8188,0.8516,0.3891,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",INDIAN08,2009
kd,0.8065,0.8782,0.8882,0.9507,0.5331,Karin Dressler,INDIAN08,2009
mw,0.7350,0.8599,0.8887,1.0000,0.9987,Morten Wendelboe,INDIAN08,2009
pc,0.7364,0.8183,0.8198,0.9405,0.6610,Pablo Cancela,INDIAN08,2009
rr,0.7897,0.8616,0.8667,0.9482,0.4820,"Vishweshwara Rao, Preeti Rao",INDIAN08,2009
toos,0.6850,0.7976,0.8366,1.0000,0.9926,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",INDIAN08,2009
cl1,0.4397,0.5914,0.6295,0.9249,0.8357,"Chuan Cao, Ming Li",MIREX09 (0dB),2009
cl2,0.4923,0.5914,0.6295,0.7721,0.5974,"Chuan Cao, Ming Li",MIREX09 (0dB),2009
dr1,0.6013,0.6988,0.7251,0.9187,0.5536,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",MIREX09 (0dB),2009
dr2,0.5951,0.6655,0.7079,0.8740,0.4734,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",MIREX09 (0dB),2009
hjc1,0.5318,0.7266,0.7529,0.3417,0.0179,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",MIREX09 (0dB),2009
hjc2,0.5175,0.5169,0.7000,0.3417,0.0179,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",MIREX09 (0dB),2009
jjy,0.4969,0.7594,0.8025,0.3891,0.1941,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX09 (0dB),2009
kd,0.6822,0.8046,0.8188,0.9118,0.4778,Karin Dressler,MIREX09 (0dB),2009
mw,0.4364,0.6729,0.7100,0.9999,0.9947,Morten Wendelboe,MIREX09 (0dB),2009
pc,0.5150,0.5089,0.5337,0.7312,0.4348,Pablo Cancela,MIREX09 (0dB),2009
rr,0.6077,0.6862,0.7137,0.8881,0.5076,"Vishweshwara Rao, Preeti Rao",MIREX09 (0dB),2009
toos,0.5356,0.8229,0.8575,0.9998,0.9942,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX09 (0dB),2009
cl1,0.3450,0.4539,0.5094,0.9062,0.8486,"Chuan Cao, Ming Li",MIREX09 (-5dB),2009
cl2,0.3995,0.4539,0.5094,0.7282,0.6127,"Chuan Cao, Ming Li",MIREX09 (-5dB),2009
dr1,0.4555,0.5378,0.5809,0.8853,0.6709,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",MIREX09 (-5dB),2009
dr2,0.4478,0.5053,0.5753,0.8532,0.6028,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",MIREX09 (-5dB),2009
hjc1,0.3846,0.4866,0.5452,0.0860,0.0111,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",MIREX09 (-5dB),2009
hjc2,0.3755,0.2145,0.4455,0.0860,0.0111,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",MIREX09 (-5dB),2009
jjy,0.4223,0.5853,0.6479,0.3909,0.2646,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX09 (-5dB),2009
kd,0.5169,0.6249,0.6628,0.8639,0.6010,Karin Dressler,MIREX09 (-5dB),2009
mw,0.3427,0.5306,0.5872,0.9999,0.9947,Morten Wendelboe,MIREX09 (-5dB),2009
pc,0.4162,0.3738,0.4051,0.6762,0.4820,Pablo Cancela,MIREX09 (-5dB),2009
rr,0.4340,0.5468,0.5876,0.9279,0.7576,"Vishweshwara Rao, Preeti Rao",MIREX09 (-5dB),2009
toos,0.4864,0.7489,0.7853,0.9998,0.9942,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX09 (-5dB),2009
cl1,0.5175,0.7026,0.7268,0.9368,0.8210,"Chuan Cao, Ming Li",MIREX09 (+5dB),2009
cl2,0.5717,0.7026,0.7268,0.8087,0.5769,"Chuan Cao, Ming Li",MIREX09 (+5dB),2009
dr1,0.7280,0.8089,0.8222,0.9478,0.3935,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",MIREX09 (+5dB),2009
dr2,0.7279,0.7730,0.7965,0.8914,0.2924,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",MIREX09 (+5dB),2009
hjc1,0.7476,0.8486,0.8636,0.6938,0.0299,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",MIREX09 (+5dB),2009
hjc2,0.7497,0.7838,0.8659,0.6938,0.0299,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",MIREX09 (+5dB),2009
jjy,0.5174,0.8439,0.8768,0.2938,0.0393,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX09 (+5dB),2009
kd,0.7841,0.8919,0.8966,0.9413,0.3629,Karin Dressler,MIREX09 (+5dB),2009
mw,0.5003,0.7703,0.7935,0.9999,0.9947,Morten Wendelboe,MIREX09 (+5dB),2009
pc,0.6152,0.6368,0.6542,0.7822,0.3746,Pablo Cancela,MIREX09 (+5dB),2009
rr,0.7674,0.7788,0.7968,0.8547,0.1967,"Vishweshwara Rao, Preeti Rao",MIREX09 (+5dB),2009
toos,0.5567,0.8485,0.8829,0.9945,0.9888,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX09 (+5dB),2009
pc,0.8510,0.8510,0.8590,0.8800,0.0980,Pablo Cancela,ADC2004,2008
drd2,0.8150,0.8570,0.8620,0.9170,0.3160,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",ADC2004,2008
rk,0.7880,0.8240,0.8350,0.8890,0.2620,"Matti Ryynänen, Anssi Klapuri",ADC2004,2008
vr,0.7010,0.7710,0.8520,0.8230,0.2000,"V. Rao, P. Rao",ADC2004,2008
clly2,0.6800,0.7530,0.7670,0.8460,0.4910,"C. Cao, M. Li, J. Liu, Y. Yan",ADC2004,2008
drd1,0.5960,0.6590,0.7500,0.9380,0.5790,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",ADC2004,2008
clly1,0.5020,0.7530,0.7670,0.5570,0.2970,"C. Cao, M. Li, J. Liu, Y. Yan",ADC2004,2008
pc,0.6980,0.7100,0.7280,0.8390,0.1990,Pablo Cancela,MIREX05,2008
drd2,0.6600,0.7240,0.7620,0.9200,0.4920,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",MIREX05,2008
vr,0.6490,0.6970,0.7650,0.8510,0.2380,"V. Rao, P. Rao",MIREX05,2008
rk,0.6350,0.7120,0.7440,0.8560,0.4440,"Matti Ryynänen, Anssi Klapuri",MIREX05,2008
clly2,0.6140,0.6890,0.7200,0.7780,0.4670,"C. Cao, M. Li, J. Liu, Y. Yan",MIREX05,2008
drd1,0.5220,0.5740,0.6530,0.9190,0.6040,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",MIREX05,2008
clly1,0.4890,0.6890,0.7200,0.5820,0.4220,"C. Cao, M. Li, J. Liu, Y. Yan",MIREX05,2008
drd1,0.7600,0.8580,0.8830,0.9870,0.6890,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",INDIAN08,2008
rk,0.7530,0.8350,0.8380,0.9040,0.4850,"Matti Ryynänen, Anssi Klapuri",INDIAN08,2008
drd2,0.7500,0.8180,0.8260,0.9660,0.5710,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",INDIAN08,2008
pc,0.7330,0.8390,0.8400,0.9570,0.6540,Pablo Cancela,INDIAN08,2008
vr,0.6670,0.8820,0.8860,0.6830,0.2110,"V. Rao, P. Rao",INDIAN08,2008
clly1,0.5140,0.5470,0.5530,0.7760,0.4340,"C. Cao, M. Li, J. Liu, Y. Yan",INDIAN08,2008
clly2,0.4970,0.5470,0.5530,0.8610,0.6780,"C. Cao, M. Li, J. Liu, Y. Yan",INDIAN08,2008
dressler,0.8250,0.8290,0.8400,0.9090,0.1050,Karin Dressler,ADC2004,2006
ryynanen,0.7730,0.8060,0.8230,0.8440,0.1260,"Matti Ryynänen, Anssi Klapuri",ADC2004,2006
poliner,0.7190,0.7320,0.7640,0.8990,0.3630,"Graham Poliner, Daniel P. W. Ellis",ADC2004,2006
sutton,0.5820,0.6260,0.6540,0.7320,0.2490,"Christopher Sutton, Emmanuel Vincent, Mark D. Plumbley and Juan P. Bello",ADC2004,2006
brossier,0.4960,0.5740,0.6870,0.9970,0.8840,Paul Brossier,ADC2004,2006
dressler,0.7320,0.7770,0.8200,0.8930,0.2880,Karin Dressler,MIREX05,2006
ryynanen,0.6790,0.7150,0.7500,0.7820,0.1650,"Matti Ryynänen, Anssi Klapuri",MIREX05,2006
poliner,0.6300,0.6620,0.7040,0.9350,0.4510,"Graham Poliner, Daniel P. W. Ellis",MIREX05,2006
sutton,0.5370,0.5640,0.6010,0.6450,0.1380,"Christopher Sutton, Emmanuel Vincent, Mark D. Plumbley and Juan P. Bello",MIREX05,2006
brossier,0.3190,0.4100,0.5610,0.9950,0.9820,Paul Brossier,MIREX05,2006
dressler,0.7140,0.6810,0.7140,0.8180,0.1730,Karin Dressler,MIREX05,2005
ryynanen,0.6430,0.6860,0.7410,0.9030,0.3950,"Matti Ryynänen, Anssi Klapuri",MIREX05,2005
poliner,0.6110,0.6730,0.7340,0.9160,0.4270,"Graham Poliner, Daniel P. W. Ellis",MIREX05,2005
paiva1,0.6110,0.5850,0.6200,0.6880,0.2320,"Paiva, R.",MIREX05,2005
marolt,0.5950,0.6010,0.6710,0.7270,0.3240,"Marolt, M.",MIREX05,2005
paiva2,0.5780,0.6270,0.6670,0.8340,0.5580,"Paiva, R.",MIREX05,2005
goto,0.4990,0.6580,0.7180,0.9990,0.9940,"Goto, M.",MIREX05,2005
vincent1,0.4790,0.5980,0.6760,0.9610,0.9370,"Vincent, Plumbley",MIREX05,2005
vincent1,0.4640,0.5960,0.7110,0.9960,0.9640,"Vincent, Plumbley",MIREX05,2005
